Ticker,year,month,H_value,Price
SPG,2020,11,0.6140229346387799,82.57
SPG,2020,12,0.40027931910601317,85.28
SPG,2021,1,0.31020365333602157,92.93
SPG,2021,2,0.28911047809617096,112.92
SPG,2021,3,0.19462729004348794,113.77
SPG,2021,4,0.7220492526683893,121.74
SPG,2021,5,0.4979478816385363,128.49001
SPG,2021,6,0.42551668453101077,130.48
SPG,2021,7,0.3858545783072502,126.52
SPG,2021,8,0.3550881488148774,134.45
SPG,2021,9,-0.0914355717618365,129.97
SPG,2021,10,0.15083622441713748,146.58
SPG,2021,11,-0.043533363551146474,152.84
SPG,2021,12,0.030346500818422172,159.77
SPG,2022,1,-0.04053581395114802,147.2
SPG,2022,2,0.07647696583331577,137.56
SPG,2022,3,-0.04820919580185769,131.56
SPG,2022,4,-0.08452770188073928,118.0
SPG,2022,5,0.0556447022605153,114.65
SPG,2022,6,0.13896602381442066,94.92
SPG,2022,7,0.058948546684332324,108.64
SPG,2022,8,0.12657214518407828,101.98
SPG,2022,9,0.11638752128519021,89.75
SPG,2022,10,0.09230064315801799,108.98
SPG,2022,11,0.11409657024538854,119.44
SPG,2022,12,0.16025005547259377,117.48
SPG,2023,1,0.07006059562451455,128.46001
SPG,2023,2,0.09363158616535347,122.09
SPG,2023,3,-0.025414236692222043,111.97
SPG,2023,4,0.1298973844490349,113.32
SPG,2023,5,0.15046044679791834,105.15
SPG,2023,6,0.19874739825956592,115.48
SPG,2023,7,0.13899819456160606,124.6
SPG,2023,8,0.1198569021678694,113.49
SPGI,2016,4,0.08120109864645439,106.85
SPGI,2016,5,0.31365505587697823,111.81
SPGI,2016,6,0.06851949218530448,107.26
SPGI,2016,7,-0.07094750223213162,122.2
SPGI,2016,8,0.11574304993319771,123.54
SPGI,2016,9,0.06457771957426216,126.56
SPGI,2016,10,0.0038758824856541937,121.85
SPGI,2016,11,0.036512786061143485,118.99
SPGI,2016,12,0.05191827658672598,107.54
SPGI,2017,1,0.08898478078418623,120.18
SPGI,2017,2,-0.09921880058838968,129.47
SPGI,2017,3,0.125149463889148,130.74001
SPGI,2017,4,0.17836618853293884,134.19
SPGI,2017,5,0.024462952526179048,142.81
SPGI,2017,6,0.164519884016444,145.99001
SPGI,2017,7,0.18983259763958044,153.59
SPGI,2017,8,0.2625373325496511,154.33
SPGI,2017,9,0.04337679864570269,156.31
SPGI,2017,10,0.10600047695862394,156.47
SPGI,2017,11,0.05917908065174029,165.48
SPGI,2017,12,0.06508148972423151,169.39999
SPGI,2018,1,0.31452638421004536,181.10001
SPGI,2018,2,-0.16225957068464858,191.8
SPGI,2018,3,0.06707358045145514,191.06
