PERMNO,date,TICKER,PRC
17830,2017-06-30,UTX,122.11000
17830,2017-07-31,UTX,118.57000
17830,2017-08-31,UTX,119.72000
17830,2017-09-29,UTX,116.08000
17830,2017-10-31,UTX,119.76000
17830,2017-11-30,UTX,121.45000
17830,2017-12-29,UTX,127.57000
17830,2018-01-31,UTX,138.00999
17830,2018-02-28,UTX,134.74001
17830,2018-03-29,UTX,125.82000
17830,2018-04-30,UTX,120.15000
17830,2018-05-31,UTX,124.82000
17830,2018-06-29,UTX,125.03000
17830,2018-07-31,UTX,135.74001
17830,2018-08-31,UTX,131.70000
17830,2018-09-28,UTX,139.81000
17830,2018-10-31,UTX,124.21000
17830,2018-11-30,UTX,121.84000
17830,2018-12-31,UTX,106.48000
17830,2019-01-31,UTX,118.07000
17830,2019-02-28,UTX,125.67000
17830,2019-03-29,UTX,128.89000
17830,2019-04-30,UTX,142.61000
17830,2019-05-31,UTX,126.30000
17830,2019-06-28,UTX,130.20000
17830,2019-07-31,UTX,133.60001
17830,2019-08-30,UTX,130.24001
17830,2019-09-30,UTX,136.52000
17830,2019-10-31,UTX,143.58000
17830,2019-11-29,UTX,148.34000
17830,2019-12-31,UTX,149.75999
17830,2020-01-31,UTX,150.20000
17830,2020-02-28,UTX,130.59000
17830,2020-03-31,UTX,94.33000
17830,2020-04-30,RTX,64.81000
17830,2020-05-29,RTX,64.52000
17830,2020-06-30,RTX,61.62000
17830,2020-07-31,RTX,56.68000
17830,2020-08-31,RTX,61.00000
17830,2020-09-30,RTX,57.54000
17830,2020-10-30,RTX,54.32000
17830,2020-11-30,RTX,71.72000
17830,2020-12-31,RTX,71.51000
17830,2021-01-29,RTX,66.73000
17830,2021-02-26,RTX,71.99000
17830,2021-03-31,RTX,77.27000
17830,2021-04-30,RTX,83.24000
17830,2021-05-28,RTX,88.71000
17830,2021-06-30,RTX,85.31000
17830,2021-07-30,RTX,86.95000
17830,2021-08-31,RTX,84.76000
17830,2021-09-30,RTX,85.96000
17830,2021-10-29,RTX,88.86000
17830,2021-11-30,RTX,80.92000
17830,2021-12-31,RTX,86.06000
17830,2022-01-31,RTX,90.19000
17830,2022-02-28,RTX,102.70000
17830,2022-03-31,RTX,99.07000
17830,2022-04-29,RTX,94.91000
17830,2022-05-31,RTX,95.12000
17830,2022-06-30,RTX,96.11000
17830,2022-07-29,RTX,93.21000
17830,2022-08-31,RTX,89.75000
17830,2022-09-30,RTX,81.86000
17830,2022-10-31,RTX,94.82000
17830,2022-11-30,RTX,98.72000
17830,2022-12-30,RTX,100.92000
17830,2023-01-31,RTX,99.85000
17830,2023-02-28,RTX,98.09000
17830,2023-03-31,RTX,97.93000
17830,2023-04-28,RTX,99.90000
17830,2023-05-31,RTX,92.14000
17830,2023-06-30,RTX,97.96000
17830,2023-07-31,RTX,87.93000
17830,2023-08-31,RTX,86.04000
18143,2018-10-31,LIN,165.47000
18143,2018-11-30,LIN,159.05000
18143,2018-12-31,LIN,156.03999
18143,2019-01-31,LIN,163.00999
18143,2019-02-28,LIN,173.24001
18143,2019-03-29,LIN,175.92999
18143,2019-04-30,LIN,180.25999
18143,2019-05-31,LIN,180.55000
18143,2019-06-28,LIN,200.80000
18143,2019-07-31,LIN,191.28000
18143,2019-08-30,LIN,188.91000
18143,2019-09-30,LIN,193.72000
18143,2019-10-31,LIN,198.35001
18143,2019-11-29,LIN,206.21001
18143,2019-12-31,LIN,212.89999
18143,2020-01-31,LIN,203.13000
18143,2020-02-28,LIN,191.00999
18143,2020-03-31,LIN,173.00000
18143,2020-04-30,LIN,183.99001
18143,2020-05-29,LIN,202.34000
18143,2020-06-30,LIN,212.11000
18143,2020-07-31,LIN,245.11000
18143,2020-08-31,LIN,249.74001
18143,2020-09-30,LIN,238.13000
18143,2020-10-30,LIN,220.34000
18143,2020-11-30,LIN,256.42001
18143,2020-12-31,LIN,263.51001
18143,2021-01-29,LIN,245.39999
18143,2021-02-26,LIN,244.27000
18143,2021-03-31,LIN,280.14001
18143,2021-04-30,LIN,285.84000
18143,2021-05-28,LIN,300.60001
18143,2021-06-30,LIN,289.10001
18143,2021-07-30,LIN,307.39001
18143,2021-08-31,LIN,314.59000
18143,2021-09-30,LIN,293.38000
18143,2021-10-29,LIN,319.20001
18143,2021-11-30,LIN,318.14001
18143,2021-12-31,LIN,346.42999
